Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Dog Walk (Morning),10/06/2025,6:30 AM,10/06/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
Breakfast & Pack Lunches,10/06/2025,7:00 AM,10/06/2025,7:30 AM,False,Breakfast and school lunches,Home,True
School Drop-off,10/06/2025,7:45 AM,10/06/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Commute & Coffee,10/06/2025,8:15 AM,10/06/2025,8:45 AM,False,Drive to office and pick up coffee,Office,False
Social Team Standup,10/06/2025,9:00 AM,10/06/2025,9:15 AM,False,Daily standup with social team,Office,False
Content Calendar Planning,10/06/2025,9:30 AM,10/06/2025,10:30 AM,False,Plan posts for the week,Office,False
Creative Brief Review,10/06/2025,10:30 AM,10/06/2025,11:30 AM,False,Review briefs and request assets,Office,False
Lunch,10/06/2025,12:00 PM,10/06/2025,12:30 PM,False,Lunch break,Cafe,False
Community Management,10/06/2025,12:30 PM,10/06/2025,1:00 PM,False,Reply to comments and DMs,Office,False
Campaign Build (Ads Manager),10/06/2025,1:00 PM,10/06/2025,2:30 PM,False,Build ad sets and targeting,Office,False
Stakeholder Sync,10/06/2025,2:30 PM,10/06/2025,3:00 PM,False,Marketing + Product sync,Office,False
School Pickup,10/06/2025,3:15 PM,10/06/2025,3:45 PM,False,Pick up kids from school,Elementary School,True
Post Scheduling Window,10/06/2025,4:00 PM,10/06/2025,4:30 PM,False,Schedule evening/next-day posts,Office,False
Soccer Practice (Child),10/06/2025,5:30 PM,10/06/2025,6:30 PM,False,Kids soccer practice,Community Field,True
Dinner,10/06/2025,6:45 PM,10/06/2025,7:30 PM,False,Family dinner,Home,True
Bedtime Routine,10/06/2025,7:45 PM,10/06/2025,8:15 PM,False,Story time and lights out,Home,True
Dog Walk (Evening),10/06/2025,8:15 PM,10/06/2025,8:35 PM,False,Evening walk with the dog,Neighborhood,True
Dog Walk (Morning),10/07/2025,6:30 AM,10/07/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/07/2025,7:45 AM,10/07/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/07/2025,9:00 AM,10/07/2025,9:15 AM,False,Daily standup with social team,Office,False
